price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_living15,sqft_lot15,age
221900,3,1,1180,5650,1,0,0,0,0,1180,1340,5650,66
538000,3,2.25,2570,7242,2,0,0,0,0,2170,1690,7639,30
180000,2,1,770,10000,1,0,0,0,1,770,2720,8062,88
604000,4,3,1960,5000,1,0,0,1,0,1050,1360,5000,56
510000,3,2,1680,8080,1,0,0,0,1,1680,1800,7503,34
1230000,4,4.5,5420,101930,1,0,0,0,1,3890,4760,101930,20
257500,3,2.25,1715,6819,2,0,0,0,0,1715,2238,6819,26
291850,3,1.5,1060,9711,1,0,0,0,0,1060,1650,9711,58
229500,3,1,1780,7470,1,0,0,0,0,1050,1780,8113,61
323000,3,2.5,1890,6560,2,0,0,0,0,1890,2390,7570,18
662500,3,2.5,3560,9796,1,0,0,0,1,1860,2210,8925,56
468000,2,1,1160,6000,1,0,0,1,0,860,1330,6000,79
310000,3,1,1430,19901,1.5,0,0,1,0,1430,1780,12697,94
400000,3,1.75,1370,9680,1,0,0,1,0,1370,1370,10208,44
530000,5,2,1810,4850,1.5,0,0,0,0,1810,1360,4850,121
650000,4,3,2950,5000,2,0,1,0,1,1980,2140,4000,42
395000,3,2,1890,14040,2,0,0,0,0,1890,1890,14018,27
485000,4,1,1600,4300,1.5,0,0,1,0,1600,1610,4300,105
189000,2,1,1200,9850,1,0,0,1,0,1200,1060,5095,100
230000,3,1,1250,9774,1,0,0,1,0,1250,1280,8850,52
385000,4,1.75,1620,4980,1,0,0,1,0,860,1400,4980,74
2000000,3,2.75,3050,44867,1,0,1,0,1,2330,4110,20336,53
285000,5,2.5,2270,6300,2,0,0,0,1,2270,2240,7005,26
252700,2,1.5,1070,9643,1,0,0,0,0,1070,1220,8386,36
329000,3,2.25,2450,6500,2,0,0,1,1,2450,2200,6865,36
233000,3,2,1710,4697,1.5,0,0,1,1,1710,1030,4705,80
937000,3,1.75,2450,2691,2,0,0,0,1,1750,1760,3573,106
667000,3,1,1400,1581,1.5,0,0,1,1,1400,1860,3861,112
438000,3,1.75,1520,6380,1,0,0,0,0,790,1520,6235,73
719000,4,2.5,2570,7173,2,0,0,0,1,2570,2630,6026,16
580500,3,2.5,2320,3980,2,0,0,0,1,2320,2580,3980,18
280000,2,1.5,1190,1265,3,0,0,0,0,1190,1390,1756,16
687500,4,1.75,2330,5000,1.5,0,0,1,0,1510,1460,5000,92
535000,3,1,1090,3000,1.5,0,0,1,1,1090,1570,5080,92
322500,4,2.75,2060,6659,1,0,0,0,0,1280,2020,8720,40
696000,3,2.5,2300,3060,1.5,0,0,0,1,1510,1590,3264,19
550000,4,1,1660,34848,1,0,0,0,0,930,2160,11467,88
640000,4,2,2360,6000,2,0,0,1,1,2360,1730,4700,117
240000,4,1,1220,8075,1,0,0,0,0,890,1290,7800,52
605000,4,2.5,2620,7553,2,0,0,0,1,2620,2620,11884,25
625000,4,2.5,2570,5520,2,0,0,0,1,2570,2470,5669,21
775000,4,2.25,4220,24186,1,0,0,0,1,2600,2410,30617,37
861990,5,2.75,3595,5639,2,0,0,0,1,3595,3625,5639,7
685000,3,1,1570,2280,2,0,0,0,0,1570,1580,2640,99
309000,3,1,1280,9656,1,0,0,1,1,920,1340,8808,62
488000,3,2.5,3160,13603,2,0,0,0,1,3160,3050,9232,18
210490,3,1,990,8528,1,0,0,0,1,990,1228,8840,55
785000,4,2.5,2290,13416,2,0,0,1,1,2290,2680,13685,40
450000,3,1.75,1250,5963,1,0,0,1,0,1250,970,5100,68
1350000,3,2.5,2753,65005,1,1,1,1,1,2165,2680,72513,68
228000,3,1,1190,9199,1,0,0,0,0,1190,1190,9364,66
345000,5,2.5,3150,9134,1,0,0,1,1,1640,1990,9133,55
600000,3,1.75,1410,4080,1,0,0,1,0,1000,1410,4080,71
585000,2,1.75,1980,8550,1,0,0,0,0,990,1480,6738,40
920000,5,2.25,2730,6000,1.5,0,0,0,1,2130,2730,6000,94
885000,4,2.5,2830,5000,2,0,0,0,1,2830,1950,5000,26
292500,4,2.5,2250,4495,2,0,0,0,0,2250,2250,4500,13
301000,3,2.5,2420,4750,2,0,0,0,1,2420,2690,4750,18
951000,5,3.25,3250,14342,2,0,1,1,1,3250,2960,11044,53
430000,4,3,1850,9976,2,0,0,0,1,1850,2270,8542,30
650000,3,2.25,2150,21235,1,0,1,1,1,1590,2570,18900,62
289000,3,1.75,1260,8400,1,0,0,0,0,1260,1290,8750,67
505000,3,1.75,2519,8690,2,0,0,1,1,2519,2500,9500,48
549000,3,1.75,1540,1044,3,0,0,0,1,1540,1580,3090,7
425000,3,2.25,1660,6000,1,0,0,0,0,1110,1440,4080,42
317625,3,2.75,2770,3809,1.5,0,0,1,0,1770,1440,4000,96
975000,4,2.5,2720,11049,2,0,0,0,1,2720,2750,11049,32
287000,4,2.5,2240,4648,2,0,0,0,0,2240,2221,4557,16
